+--+-------------------------------------------------------------------------------------------------------------------------------------+------------------------------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|Id|Name                                                                                                                                 |Address                                         |Content                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
|4 |Селище                                                                                                                               |район «Дедново»                                 |Памятник археологии конца второй четверти первого тысячелетия нашей эры, Х-ХIII в.в., находится на юго-западной окраине города (район Дедново), на первой надпойменной террасе левого берега реки Бобруйка. Занимает площадь примерно 600х300 м. Селище выявлено в 1978 г. сотрудником института истории НАН Беларуси, археологом П.Ф.Лысенко, обследовано в 1987 г. сотрудником института истории НАН Беларуси, археологом Н.Н.Дубицкой. В 1996-1999 гг. археологические изыскания и раскопки проводила сотрудник института истории НАН Беларуси, археолог А.В.Ильютик. Количество предметов, найденных в культурном слое поселения, насчитывает около 15 000 единиц. Это фрагменты лепной и гончарной посуды, глиняные пряслица, железные фибулы и др. Особо ценной находкой является медная древнеримская монета, отчеканенная в период правления римского императора Марка Аврелия (161-180 г.г.). Найденные предметы находятся на хранении в фондах учреждения культуры «Бобруйский краеведческий музей».                                                                                                                                                                                                                                                     |
|5 |Здание                                                                                                                               |ул.Советская, 79                                | Построено в начале ХХ столетия. Памятник архитектуры стиля «модерн». Здание одноэтажное, кирпичное, П-образное в плане. Симметрично-осевая композиция главного оштукатуренного фасада подчёркнута тремя ризалитами (от итал. risalita - выступ), на которых расположено по два арочных окна. Плоскости стен ризалитов окрашены в разные цвета. Ризалиты завершены треугольными аттиками (аттик- стенка над венчающим архитектурное сооружение карнизом, часто украшенная рельефами и надписями) с нишами и лепным декором. Центральный ризалит имеет три арочных окна и арочный вход. Над окнами во всех ризалитах находятся лепные маски. Окна в простенках между ризалитами прямоугольные, обрамлённые наличниками с лепными украшениями.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
|  |                                                                                                                                     |                                                |Сегодняшний облик здание приобрело после реставрации в 1996 году. В настоящее время здесь размещается учреждение здравоохранения «Городская детская стоматологическая поликлиника».                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
|6 |Здание банка                                                                                                                         |ул.Советская 77/48                              |Построено в начале ХХ века. Памятник архитектуры стиля «модерн». Здание двухэтажное, кирпичное, Г-образное в плане. Каждый фасад имеет неглубокий ризалит, оконные проёмы прямоугольные. Ризалит со стороны ул. Советской имеет большое прямоугольное окно, которое объединяет верхний и половину нижнего этажей. Ризалит со стороны ул. Московской выделен прямоугольными окнами в верхнем этаже и спаренными арочными в нижнем. Угловая часть здания подчёркнута входным арочным порталом и завершённым небольшой усечённой башенкой.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
|  |                                                                                                                                     |                                                |До революции здесь размещался один из коммерческих банков города. В настоящее время располагается один из корпусов Бобруйского филиала учреждения образования «Белорусский государственный экономический университета».                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
|7 |Бывший городской особняк                                                                                                             |ул. Советская, 45                               |Построено в 1914 году. Памятник архитектуры стиля «эклектика». Здание двухэтажное, кирпичное, Г-образное в плане. Центр главного фасада выделен порталом, завершённым треугольным фронтоном. Элемент ассиметрии в композицию главного фасада вносит ризалит в месте соединения крыльев здания. Планировка коридорная. Парадная лестница - в центре крыла, выходящего на улицу Советская.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
|  |                                                                                                                                     |                                                |В настоящее время в здании размещается Центр технического творчества учащихся отдела образования администрации Ленинского района г. Бобруйска.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
|8 |Бывший городской особняк                                                                                                             |ул. Пушкина, 211                                |Построено в 1912 году. Памятник архитектуры стиля «эклектика». Здание одноэтажное, кирпичное, Г-образное в плане. Архитектурный декор сконцентрирован на главном фасаде, который имеет симметрично-осевую композицию. Центральный ход оформлен двухколонным аттиковым портиком. По бокам здания расположены ризалиты, украшенные лепными масками. Планировка коридорно - анфиладная. Арочный проём главного вестибюля украшен лепными украшениями. Центральный зал на дворовом фасаде выступает полукругом. В интерьере 6 печей и каминов, облицованных цветными орнаментированными изразцами.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
|9 |Здание                                                                                                                               |ул. Интернациональная, 25                       | Построено в 1912 году. Памятник архитектуры стиля «модерн». Здание одноэтажное, деревянное, Г-образное в плане, завершено двускатной крышей. Главный фасад декорирован двумя двухэтажными башнями с шатрами. В центре выделяется круглая мансарда с выходом на балкон. Планировка коридорного типа с двусторонним размещением разных по размеру помещений.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|  |                                                                                                                                     |                                                |До революции дом принадлежал купчихе-мещанке Кацнельсон. Позже в нем находился Бобруйский уездный революционный комитет - временный орган местной власти, созданный в ноябре 1918 года во время освобождения Бобруйска от войск империалистической Германии (председатель ревкома - П.Ф.Ревинский). В 1958 году в память о деятельности комитета на здании установлена мемориальная доска.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
|  |                                                                                                                                     |                                                |В настоящее время здесь располагается центральная библиотека Бобруйского района.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
|10|Мемориал в честь воинов, погибших при освобождении г.Бобруйска от немецко-фашистских захватчиков в июне 1944 года                    |ул.Минская                                      |Открыт 3 июля 1999 года. Художественная концепция разработана лауреатом Государственной премии, заслуженным работником культуры БССР, действительным членом Парижской академии гуманитарных наук в области архитектуры Э.К.Агуновичем.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|  |                                                                                                                                     |                                                |В 1965 году на братской могиле советских воинов, погибших за освобождение г. Бобруйска от немецко-фашистских оккупантов в ходе Бобруйской наступательной операции, поставлен обелиск и 2 стелы с именами похороненных. В 1974 г. - дополнительно две наклоненные плиты, а в 1994 г. - ещё 4. В 1998 году принято решение о проектировании и реконструкции памятника на братской могиле.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
|  |                                                                                                                                     |                                                |Мемориал выполнен в виде открытой книги, расположенной полукругом, на страницах которой увековечены имена 938 погибших героев.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
|  |                                                                                                                                     |                                                |Верхняя часть памятника исполнена в виде пантеона и имеет вид полусферы, вход оформлен аркой - вратами. На 10 опорах высотой 21 метр закреплён конный памятник, первый в Беларуси, высотой 5,5 м. В центре композиции фигура святого Георгия Победоносца в форме советского солдата, пронзающего фашистскую свастику в виде змея-аспида. Автор скульптуры Г.В.Буралкин, член Союза художников Республики Беларусь, скульптор. При изготовлении мемориала использованы алюминий и бронза.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
|11|Братская могила советских воинов, погибших в годы Великой Отечественной войны при освобождении г. Бобруйска «Вечный огонь»           |пос. Еловики                                    |В братской могиле похоронены 117 воинов, погибших в боях при освобождении нашего города от немецко-фашистских захватчиков в июне 1944 года. В 1970 году на могиле поставлен памятник - соединённые под углом стелы (в виде развёрнутой книги) с именами погибших. В 1975 году зажжён Вечный огонь.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
|12|Памятник партизанам и подпольщикам г. Бобруйска, погибшим в годы Великой Отечественной войны                                         |ул.Интернациональная, 38                        |Установлен в 1967 году на могиле партизан и подпольщиков г.Бобруйска,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
|  |                                                                                                                                     |                                                |погибших в годы Великой Отечественной войны.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
|  |                                                                                                                                     |                                                |В годы оккупации на территории Бобруйска действовало 17 подпольных групп. За это время подпольщики вывели из города и окружающих населенных пунктов в партизанские отряды около 4 тысяч человек. Более 300 участников подполья пополнили партизанские ряды. Несмотря на массовые аресты и террор подпольное движение в Бобруйске действовало до освобождения города войсками Красной Армии.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|  |                                                                                                                                     |                                                |Памятник партизанам и подпольщикам исполнен в виде колонны, завершенной изображением пятиконечной звезды в обрамлении венка.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
|  |                                                                                                                                     |                                                |Установлен в городском парке культуры и отдыха.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
|13|Памятник в честь войсковых частей и соединений, отличившихся при освобождении г. Бобруйска                                           |сквер, ул. Социалистическая                     |Установлен в 1965 году.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
|  |                                                                                                                                     |                                                |В июне 1944 г. войска 1-го Белорусского фронта разгромили немецко-фашистских захватчиков в районе Бобруйска, 29 июня 1944 года город был освобожден. В ходе операции отличились 108-я, 250-я и 348-я стрелковые дивизии; 9-ый танковый корпус; 95-я, 108-я танковые и 8-я мотострелковые бригады; 313-ый гвардейский миномётный полк 3-й армии; 17-я и 137-я стрелковые дивизии; 42-ой отдельный линейный танковый и 1987-ой самоходный артиллерийский полки 48-й армии; 115-я отдельная стрелковая бригада; 311-ый гвардейский миномётный и 922-й самоходный артиллерийский полки 65-й армии; 3-й бомбардировочный и 8-й истребительный авиационные корпусы 16-й воздушной армии; 1-я бригада речных кораблей и 2-й отдельный гвардейский дивизион бронекатеров Днепровской военной флотилии; 66-й отдельный полк связи 1-го Белорусского фронта.                                                                                                                                                                                                                                                                                                                                                                                                                 |
|  |                                                                                                                                     |                                                |Приказом Верховного Главнокомандующего Вооружённых Сил СССР от 5 июля 1944 года этим войсковым частям и соединениям присвоены почётные звания «Бобруйских».                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|14|Памятник воинам 1-го Белорусского фронта, освободившим город от немецко-фашистских захватчиков                                       |ул. Социалистическая, правый берег реки Березина|Установлен в 1954 году к 10-летию освобождения Беларуси и города Бобруйска от немецко-фашистских захватчиков.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
|  |                                                                                                                                     |                                                |В конце июня 1944 года войсками 1-го Белорусского фронта под командованием генерала армии К.К.Рокоссовского успешно проведена операция по окружению и разгрому бобруйской группировки войск противника. В знаменитый «Бобруйский котел» попало около 40 тысяч вражеских солдат и офицеров. В операции принимали участие части 3-й, 28-й, 48-й, 65-й общевойсковых и 16-й воздушной армий, конно-механизированная группа, Днепровская военная флотилия, партизаны. 29 июня 1944 года город был полностью освобождён.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
|15|Памятник воинам-интернационалистам                                                                                                   |ул. Социалистическая                            |Открыт в 1998 году. Автор проекта Э.К.Агунович. Скульптор - В.Слободчиков.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
|  |                                                                                                                                     |                                                |Памятник установлен в честь воинов-бобруйчан, погибших при исполнении интернационального долга в различных странах мира.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
|  |                                                                                                                                     |                                                |На гранитном основании памятника расположена звезда, между лучами которой выбиты фамилии 17 воинов, на обратной стороне основания - названия стран, в которых воины-земляки исполняли интернациональный долг. К композиционному центру примыкают скульптурные изображения 6 женских фигур, скорбящих о погибших родных.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
|  |                                                                                                                                     |                                                |Памятник отлит из бронзы.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
|16|Памятный знак в честь бобруйчан, погибших на фронтах и в тылу врага в годы Великой Отечественной войны                               |пл. Победы                                      |Открыт 9 мая 2005 года к 60-летию Победы советского народа в Великой Отечественной войне.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
|  |                                                                                                                                     |                                                |Автор проекта Э.К.Агунович.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|  |                                                                                                                                     |                                                |Памятный знак выполнен в виде пятиконечной звезды. На центральном луче указаны фамилии 8810 бобруйчан, погибших в годы Великой Отечественной войны. В центре звезды, над курганом, возвышается символ вечного огня, обрамленный венком из дубовых листьев.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
|  |                                                                                                                                     |                                                |При изготовлении памятного знака использован гранит, цветная латунь.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
|17|Мемориальный памятный знак в честь моряков Днепровской военной флотилии, принимавших участие и погибших при освобождении г. Бобруйска|на пересечении ул. Ленина и Шмидта              |Открыт 9 мая 2005 г. к 60-летию Победы советского народа в Великой Отечественной войне.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
|  |                                                                                                                                     |                                                |Автор проекта Э.К. Агунович.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
|  |                                                                                                                                     |                                                |На бетонной колонне, срезанной под углом 45* в направлении моста через реку Березина расположен якорь, изготовленный из стали, используемой для обшивки боевых катеров Днепровской военной флотилии. На колонне установлена мемориальная доска с надписью: "Морякам Днепровской военной флотилии, погибшим при освобождении г. Бобруйска".                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
|18|Памятный знак «Аллея Праведников»                                                                                                    |ул. Социалистическая                            |Открытие Аллеи Праведников состоялось 3 июля 2005 года. Автор проекта архитектор Г.Левина.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
|  |                                                                                                                                     |                                                |Звание Праведника мира присваивается людям, спасавшим евреев в годы немецкой оккупации. В их честь посажены деревья, которые и образуют аллею. На камнях, расположенных по обеим сторонам дорожки, высечены фамилии и имена 15-ти бобруйчан, которым присвоено такое звание. Венчает Аллею Праведников памятный знак из красного камня, напоминающий и крону дерева, и сердце, разбитое пополам.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
|19|Бюст белорусскому драматургу В.И. Дунину-Марцинкевичу                                                                                |ул. Социалистическая, 106                       |Бюст белорусскому драматургу В.И.Дунину-Марцинкевичу установлен у здания учреждения культуры "Могилевский областной театр драмы и комедии им. В.И.Дунина-Марцинкевича". Изготовлен из белого мрамора.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
|  |                                                                                                                                     |                                                |В.И.Дунин-Марцинкевич - уроженец Бобруйского района, основоположник новой белорусской литературы, профессиональной драматургии, сценического искусства. В числе наиболее известных его произведений пьесы «Пінская шляхта», «Залеты», «Сялянка», повести « Гапон», «Шчауроускія дажынкі" и др.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
|  |                                                                                                                                     |                                                |Постановлением Совета Министра БССР в 1977 году имя В.И.Дунина-Марцинкевича присвоено Могилевскому областному театру драмы и комедии в г.Бобруйске.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
|20|Бюст В.З.Хоружей                                                                                                                     |ул. Пушкина,245                                 |Установлен в 1971 году у здания средней школы № 27. Скульптор - Б.В.Ивонтьев.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
|  |                                                                                                                                     |                                                |Герой Советского Союза В.З.Хоружая - уроженка г. Бобруйска, деятель революционного движения в Западной Белоруссии, организатор и руководитель коммунистического подполья в г. Витебске в годы Великой Отечественной войны.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
|  |                                                                                                                                     |                                                |Бюст изготовлен из бетона. Высота бюста 1 метр, постамента - 3 метра. Портрет исполнен в реалистических традициях.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
|21|Бюст народному артисту Беларуси, белорусскому композитору В.В.Оловникову                                                             |ул. Ульяновская, 35-а                           |Установлен в 2001 году у здания детской музыкальной школы № 2 им. В.В.Оловникова.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
|  |                                                                                                                                     |                                                |Народный артист Беларуси, композитор В.В.Оловников - уроженец г. Бобруйска, выпускник детской музыкальной школы № 1 г. Бобруйска. В числе наиболее известных его произведений песни "Радзіма мая дарагая", "Лясная песня", "Песня аб Мінску", песни о Героях Великой Отечественной войны Л.Доваторе, К.Заслонове, Д. Карбышеве, музыкальные поэмы "Партизанская быль", "Нарочь", сюита Песни мира" и др.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
|  |                                                                                                                                     |                                                |Указом Президента Республики Беларусь в 1997 году имя В.В.Оловникова присвоено детской музыкальной школе № 2 г. Бобруйска.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
|22|Гостиница "Бобруйск"                                                                                                                 |ул. Советская 97/26                             |Построена в 1958 году. Автор проекта архитектор В.Зайцев.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
|  |                                                                                                                                     |                                                |Здание отражает основное направление монументальной гражданской архитектуры Беларуси 1950-х годов. Состоит из трёх объёмов: главного 4-х этажного, полукруглого в плане, и 2-х трехэтажных, примыкающих к главному со стороны улиц Пролетарской и Советской. Главный фасад фланкирован двумя ризалитами. Центральный вход и 4-й этаж выделены арочными проёмами. На первом этаже находится вестибюль, административные и бытовые помещения. В центральной части - парадная лестница. В боковых крыльях вокруг коридоров размещены жилые номера.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
|  |                                                                                                                                     |                                                |Гостиница "Бобруйск" - своеобразная визитная карточка Бобруйска - расположена в центре старого города.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|23|Здание Бобруйского городского исполнительного комитета                                                                               |пл. им. В.И.Ленина,1                            |Построено Построено в 1978 году. Авторы проекта архитекторы Ю.Шпит, К.Алексеев.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
|  |                                                                                                                                     |                                                |Здание 7 -этажное, на втором этаже расположен конференц-зал на 400 мест. Фасады отделаны декоративной штукатуркой с мраморной крошкой и натуральным камнем. В оформлении интерьера использован натуральный камень и ценные породы деревьев. Выразительность главному фасаду придают вертикальные рёбра ломаного контура. По планировочной структуре исполнено как универсальное административное здание коридорного типа.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
|  |                                                                                                                                     |                                                |Здание является доминантой застройки площади Ленина и вместе с памятником В.И. Ленину составляет единую объёмно-пространственную композицию. 1978 году. Авторы проекта архитекторы Ю.Шпит                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
|24|Здание                                                                                                                               | ул. Социалистическая, 119                      |Построено в начале ХХ века. Трехэтажное кирпичное здание. Фасад раскрепован междуэтажными поясами, декорирован лопатками с нишами, разнообразным оформлением окон, подоконными нишами, рустованными обрамлениями одного из входов. Окна на фасаде имеют лучковые перемычки.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|  |                                                                                                                                     |                                                |С 1906 года в здании располагалась Алексеевская женская гимназия, которая получила наименование "в ознаменование высокорадостного события - рождения его императорского высочества государя-наследника цесаревича и Великого князя Алексея Николаевича". В 1906 г. было 7 основных классов. В послевоенные годы в здании располагалось Бобруйское педучилище, затем на его базе в 1949 году - Бобруйский учительский институт. В настоящее время здесь располагается один из корпусов учреждения образования "Славянская гимназия".                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
|25|Здание                                                                                                                               |ул. Социалистическая, 103/37                    |Построено в начале ХХ в. Памятник стиля "модерн".                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
|  |                                                                                                                                     |                                                |Двухэтажное кирпичное здание, декорировано пилястрами, полуколоннами, полукруглым обрамлением окон. Фасад раскрепован междуэтажным поясом, фланкирован пилястрами и колоннами, завершен профилированным карнизом. Окна с лучковыми перемычками орнаментированы подоконными нишами.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
